Best for upgrades,Rare,Name,Skills,Aspect level,Aspect,Principles,Type,Additional,Source
No,No,Bisclavret's_Knot,"Coil & Chasm , Wolf Stories , Furs & Feathers , Horns & Ivories , Path & Pilgrim , Hill & Hollow , Pentiments & Precursors , Serpents & Venoms ",5,Scale,"1 Moth, 2 Scale","Mark, Thing",,Crafting
Yes,Yes,Savage_Hymn,"Drums & Dances , Stone Stories ",5,"Nectar, Scale","2 Scale, 2 Sky","Memory, Sound",,Crafting
No,No,Thirza's_Cordials,"Coil & Chasm , Herbs & Infusions , Orchids & Narcotics , Spices & Savours , Stone Stories ",5,Edge,"2 Moth, 2 Nectar","Beverage, Liquid, Restorative, Thing",,Crafting
Yes,Yes,Cheerful_Ditty,"Drums & Dances , Strings & Songs ",5,Heart,"1 Sky, 2 Heart","Memory, Sound",,Crafting
No,No,Regensburg_Balm,"Edicts Inviolable , Herbs & Infusions , Maggephene Mysteries , Quenchings & Quellings , Surgeries & Exsanguinations ",5,Heart,"2 Heart, 2 Nectar",Liquid,,Crafting
Yes,Yes,Old_Wound,Edicts Martial ,5,Moon,"1 Edge, 2 Moon, 3 Winter","Memory, Persistent",,Crafting
No,No,Midnight_Mark,"Desires & Dissolutions , Insects & Nectars , Rhyme & Remembrance , Serpents & Venoms , Sharps , Snow Stories , Wolf Stories ",5,Moon,"1 Moth, 2 Moon","Mark, Thing",,Crafting
No,No,Labhitic_Tincture,"Disciplines of the Hammer , Edicts Martial , Ragged Crossroads , Sickle & Eclipse ",5,Edge,"1 Lantern, 2 Edge","Material, Thing",,Crafting
No,No,Wescott's_Compounds,"Meniscate Reflections , Pyroglyphics , Spices & Savours , Sacra Limiae , Solutions & Separations ",5,"Forge, Moth","1 Grail, 1 Lantern, 1 Moth, 1 Nectar, 2 Forge","Material, Thing",,Crafting
No,Yes,Tanglebrag,Watchman's Paradoxes ,5,"Lantern, Moth","1 Lantern, 1 Nectar, 1 Scale, 2 Moth","Material, Thing",,Crafting
No,Yes,Paint:_Moth-Gold,Inks of Revelation ,5,Moth,2 Moth,"Liquid, Pigment, Thing",,Crafting
No,Yes,Salt-Sign,"Hill & Hollow , Sea Stories ",5,"Moon, Rose","2 Moon, 2 Rose","Mark, Thing","Beachcombing - Numa, The Gull Colony - Numa","Beachcombing, Crafting, The Gull-Colony"
No,Yes,Confounding_Parable,Tridesma Hiera ,5,"Moon, Rose, Sky","2 Moon, 2 Rose, 2 Sky",Memory,,Crafting
No,No,Bitterblack_Salts,"Anbary & Lapidary , Bells & Brazieries , Disciplines of the Hammer , Door & Wall , Transformations & Liberations ",5,Forge,1 Forge,"Material, Pigment",,Crafting
Yes,No,Yewgall_Ink,"Inks of Containment , Inks of Power , Inks of Revelation , Insects & Nectars , Leaves & Thorns , Rites of the Roots ",5,"Nectar, Winter",2 Nectar,"Ink, Liquid",,Crafting
No,Yes,Eigengrau,Auroral Contemplations ,5,"Lantern, Moon, Winter","1 Moon, 1 Winter","Beverage, Liquid",,Crafting
Yes,Yes,Bittersweet_Certainty,"Ouranoscopy , Ragged Crossroads ",5,"Moon, Winter","1 Lantern, 2 Winter",Memory,,Crafting
No,No,Stargall_Ink,"Inks of Containment , Inks of Power , Inks of Revelation ",5,Sky,2 Sky,"Ink, Liquid",,Crafting
Yes,No,Torgue's_Cleansing,"Auroral Contemplations , Disciplines of the Scar , Meniscate Reflections , Sharps ",5,"Edge, Sky",2 Edge,Memory,,Crafting
No,No,Wistful_Air,"Bells & Brazieries , Ouranoscopy , Sky Stories , Strings & Songs , Watchman's Paradoxes ",5,Sky,"2 Rose, 2 Sky","Memory, Sound",Beehive - Numa,"Beehive, Crafting"
No,No,Awakened_Feather,"Anbary & Lapidary , Furs & Feathers , Lockworks & Clockworks , Sacra Limiae , Sights & Sensations , Stitching & Binding ",5,Sky,"1 Scale, 2 Sky","Material, Remains",Any season,"Crafting, The Gull-Colony"
No,No,Refulgin,"Inks of Revelation , Purifications & Exaltations , Sacra Solis Invicti , Transformations & Liberations ",5,Lantern,2 Lantern,"Material, Pigment",,Crafting
Yes,No,Dearday_Lens,"Disciplines of the Scar , Glassblowing & Vesselcrafting , Glaziery & Lightsmithing , Pyroglyphics ",5,"Lantern, Sky","1 Edge, 1 Forge, 2 Lantern, 2 Sky","Device, Glass, Lens, Tool",,Crafting
No,No,Amethyst_Ampoule,"Glassblowing & Vesselcrafting , Lockworks & Clockworks , Solutions & Separations , Surgeries & Exsanguinations , The Great Signs and the Great Scars ",5,Knock,"2 Heart, 2 Knock","Glass, Liquid",,Crafting
Yes,No,Secret_Threshold,"Door & Wall , Edicts Liminal , Horns & Ivories , Preliminal Meter ",5,Knock,"1 Rose, 2 Knock",Memory,,Crafting
Yes,No,Beguiling_Melody,"Applebright Euphonies , Pentiments & Precursors , Resurgences & Emergences , Tridesma Hiera ",5,Grail,"2 Grail, 2 Sky","Memory, Sound",,Crafting
No,No,Witching_Tisane,"Desires & Dissolutions , Leaves & Thorns , Orchids & Narcotics , Sea Stories , The Great Signs and the Great Scars ",5,Grail,"1 Heart, 2 Grail","Beverage, Liquid",,Crafting
No,No,Catwink,"Inks of Containment , Sickle & Eclipse , Sand Stories , Putrefactions & Calcinations , Edicts Inviolable ",5,"Edge, Moon","2 Moon, 2 Scale","Ink, Liquid",,Crafting
No,Yes,Perhibiate,"Stitching & Binding , Weaving & Knotworking , Inks of Power ",5,"Heart, Scale","1 Winter, 2 Heart, 2 Lantern, 2 Scale","Ink, Liquid",,Crafting
Yes,Yes,Hive's_Lament,Drums & Dances ,10,Nectar,"2 Moth, 2 Winter, 4 Nectar","Evolve via Bosk, Memory, Persistent, Sound",(x1) Winter and Numa,"Beehive, Crafting"
Yes,No,Thunderskin's_Paean,"Drums & Dances , Strings & Songs ",10,Heart,"1 Grail, 1 Scale, 4 Heart","Evolve via Preservation, Memory, Sound",,Crafting
No,No,Frith-Weft,"Stitching & Binding , Weaving & Knotworking ",10,Heart,3 Heart,"Fabric, Thing",,Crafting
No,No,Gideon's_Soaks,"Edicts Inviolable , Herbs & Infusions , Maggephene Mysteries , Quenchings & Quellings , Surgeries & Exsanguinations ",10,Heart,"1 Grail, 2 Forge, 3 Nectar, 4 Heart","Liquid, Thing",,Crafting
No,No,Stymphling,"Rhyme & Remembrance , Sand Stories , Serpents & Venoms , Snow Stories , Tridesma Hiera ",10,Moon,"3 Moon, 3 Scale",Beast,,Crafting
No,Yes,Pyrus_Auricalcinus,Desires & Dissolutions ,10,"Moon, Nectar","4 Forge, 4 Nectar","Fruit, Sustenance",Numa,"Crafting, Practic Garden"
Yes,No,Wormwood_Dream (10),"Edicts Inviolable , Rhyme & Remembrance , Sickle & Eclipse , Snow Stories , Wolf Stories ",10,Moon,"2 Edge, 6 Moon, 6 Winter","Memory, Omen",,Crafting
Yes,Yes,Leathy,"Inks of Containment , Herbs & Infusions , Insects & Nectars , Orchids & Narcotics , Rites of the Roots ",10,"Moon, Nectar","2 Grail, 2 Nectar, 2 Scale, 4 Moth",Beverage,,Crafting
Yes,No,Winning_Move,"Auroral Contemplations , Disciplines of the Hammer , Meniscate Reflections , Ragged Crossroads , Sharps ",10,Edge,3 Edge,Memory,,Crafting
