Best for upgrades,Rare,Name,Skills,Aspect level,Aspect,Principles,Type,Additional,Source
No,No,Amethyst Ampoule,"Glassblowing & Vesselcrafting , Lockworks & Clockworks , Solutions & Separations , Surgeries & Exsanguinations , The Great Signs and the Great Scars ",5,Knock,"2 Heart, 2 Knock","Glass, Liquid",,Crafting
Yes,No,Ascendant Harmony,"Applebright Euphonies , Bells & Brazieries , Furs & Feathers , Purifications & Exaltations , Sky Stories , Strings & Songs ",10,Sky,"2 Lantern, 4 Sky","Memory, Persistent, Sound",,Crafting
No,No,Ashartine,"Glassblowing & Vesselcrafting , Glaziery & Lightsmithing , Pyroglyphics , Watchman's Paradoxes , Anbary & Lapidary ",15,"Lantern, Sky","2 Sky, 6 Lantern","Ink, Liquid",,Crafting
No,No,Asimel,"Pearl & Tide , Putrefactions & Calcinations , Sea Stories , Ouranoscopy , Inks of Revelation ",10,"Moon, Moth","3 Knock, 5 Moon","Ink, Liquid, Thing",Ink ,Crafting
No,No,Awakened Feather,"Anbary & Lapidary , Furs & Feathers , Lockworks & Clockworks , Sacra Limiae , Sights & Sensations , Stitching & Binding ",5,Sky,"1 Scale, 2 Sky","Material, Remains",Any season,"Crafting, The Gull-Colony"
No,No,Azoth,"Bells & Brazieries , Disciplines of the Hammer , Door & Wall , Meniscate Reflections , Purifications & Exaltations , Pyroglyphics , Spices & Savours ",15,Forge,"2 Forge, 6 Knock","Liquid, Thing",,Crafting
Yes,No,Beguiling Melody,"Applebright Euphonies , Pentiments & Precursors , Resurgences & Emergences , Tridesma Hiera ",5,Grail,"2 Grail, 2 Sky","Memory, Sound",,Crafting
No,No,Bisclavret's Knot,"Coil & Chasm , Wolf Stories , Furs & Feathers , Horns & Ivories , Path & Pilgrim , Hill & Hollow , Pentiments & Precursors , Serpents & Venoms ",5,Scale,"1 Moth, 2 Scale","Mark, Thing",,Crafting
No,No,Bitterblack Salts,"Anbary & Lapidary , Bells & Brazieries , Disciplines of the Hammer , Door & Wall , Transformations & Liberations ",5,Forge,1 Forge,"Material, Pigment",,Crafting
Yes,Yes,Bittersweet Certainty,"Ouranoscopy , Ragged Crossroads , Snow Stories , Rhyme & Remembrance ",5,"Moon, Winter","1 Lantern, 2 Winter",Memory,,Crafting
No,No,Black Sapphire Wash,"Desires & Dissolutions , Pearl & Tide , Putrefactions & Calcinations , Sea Stories , Tridesma Hiera ",15,Moon,6 Moon,"Liquid, Pigment, Thing",,Crafting
No,No,Catwink,"Inks of Containment , Sickle & Eclipse , Sand Stories , Putrefactions & Calcinations , Edicts Inviolable ",5,"Edge, Moon","2 Moon, 2 Scale","Ink, Liquid",,Crafting
Yes,Yes,Cheerful Ditty,"Drums & Dances , Strings & Songs ",5,Heart,"1 Sky, 2 Heart","Memory, Sound",,Crafting
No,Yes,Chimeric Larva,"Horns & Ivories , Insects & Nectars , Hill & Hollow , Resurgences & Emergences , Transformations & Liberations ",10,"Knock, Moon, Moth","2 Knock, 2 Moon, 4 Moth",Beast,,Crafting
Yes,No,Chronsichord,"Glassblowing & Vesselcrafting , Glaziery & Lightsmithing , Lockworks & Clockworks , Preliminal Meter , The Great Signs and the Great Scars ",15,"Knock, Sky","3 Forge, 3 Sky, 3 Winter, 6 Knock","Device, Tool",,Crafting
No,Yes,Confounding Parable,"Tridesma Hiera , Preliminal Meter , Sky Stories , Applebright Euphonies , Sacra Solis Invicti ",5,"Moon, Rose, Sky","2 Moon, 2 Rose, 2 Sky",Memory,,Crafting
Yes,Yes,Curious Hunch,"Preliminal Meter , The Great Signs and the Great Scars ",10,Knock,"3 Heart, 3 Lantern, 3 Moth, 4 Knock","Memory, Omen",,Crafting
Yes,No,Dearday Lens,"Disciplines of the Scar , Glassblowing & Vesselcrafting , Glaziery & Lightsmithing , Pyroglyphics ",5,"Lantern, Sky","1 Edge, 1 Forge, 2 Lantern, 2 Sky","Device, Glass, Lens, Tool",,Crafting
Yes,Yes,Didumos,"Ouranoscopy , Applebright Euphonies , Bells & Brazieries , Sacra Limiae , Sights & Sensations ",15,"Moon, Moth","3 Knock, 3 Lantern, 3 Winter, 6 Sky","Memory, Persistent",,Crafting
Yes,Yes,Earthquake-Name,"Disciplines of the Scar , Coil & Chasm , Hill & Hollow , Stone Stories , Wolf Stories ",15,"Lantern, Scale",6 Scale,"Memory, Omen, Persistent",,Crafting
No,Yes,Eigengrau,"Auroral Contemplations , Inks of Containment , Sights & Sensations , Quenchings & Quellings , Maggephene Mysteries , Pearl & Tide ",5,"Lantern, Moon, Winter","1 Moon, 1 Winter","Beverage, Liquid",,Crafting
Yes,No,Enduring Reflection,"Path & Pilgrim , Pearl & Tide , Preliminal Meter , Sky Stories ",10,Rose,"1 Heart, 1 Knock, 3 Rose","Memory, Persistent",,Crafting
No,No,Essential Periost,"Sharps , Sickle & Eclipse , Wolf Stories , Rhyme & Remembrance , Snow Stories , Stone Stories ",10,"Moon, Nectar, Winter","2 Moon, 4 Nectar, 4 Scale, 4 Winter","Remains, Thing",,Crafting
Yes,No,Flushed Mommet,"Desires & Dissolutions , Furs & Feathers , Pentiments & Precursors , Resurgences & Emergences , The Great Signs and the Great Scars ",15,Grail,"3 Heart, 3 Moon, 6 Grail","Device, Tool",,Crafting
Yes,Yes,Forbidden Epic,Edicts Martial ,15,Moon,"4 Moon, 4 Rose, 6 Edge","Memory, Persistent",,Crafting
No,No,Frith-Weft,"Stitching & Binding , Weaving & Knotworking ",10,Heart,3 Heart,"Fabric, Thing",,Crafting
No,Yes,Gervinite,"Lockworks & Clockworks , Glaziery & Lightsmithing ",10,"Knock, Sky","2 Rose, 4 Knock","Material, Metal",,Crafting
No,No,Gideon's Soaks,"Edicts Inviolable , Herbs & Infusions , Maggephene Mysteries , Quenchings & Quellings , Surgeries & Exsanguinations ",10,Heart,"1 Grail, 2 Forge, 3 Nectar, 4 Heart","Liquid, Thing",,Crafting
No,No,Glassfinger Toxin,"Door & Wall , Edicts Liminal , Solutions & Separations , Surgeries & Exsanguinations , Serpents & Venoms ",10,"Knock, Scale","2 Forge, 2 Lantern, 4 Knock",Liquid,,Crafting
Yes,Yes,Hive's Lament,Drums & Dances ,10,Nectar,"2 Moth, 2 Winter, 4 Nectar","Evolve via Bosk, Memory, Persistent, Sound", Winter and Numa,"Beehive, Crafting"
Yes,No,Horizon-Sight,"Path & Pilgrim , Preliminal Meter , Sand Stories , Sky Stories ",15,Rose,4 Rose,"Memory, Persistent",The Gull Colony - Numa,"Crafting, Sea's Edge, The Gull-Colony"
No,No,Houndsgall,"Horns & Ivories , Inks of Containment , Path & Pilgrim , Pentiments & Precursors ",15,Scale,"2 Heart, 5 Scale","Ink, Liquid, Thing",Living relic,Crafting
No,No,Ichor Auroral,"Auroral Contemplations , Inks of Power , Sand Stories ",10,"Rose, Sky","2 Rose, 4 Lantern","Liquid, Pigment, Thing",,Crafting
No,No,Ichor Vitreous,"Glassblowing & Vesselcrafting , Glaziery & Lightsmithing , Inks of Revelation , Sacra Solis Invicti , Watchman's Paradoxes ",10,"Lantern, Sky",4 Lantern,"Liquid, Pigment",,Crafting
Yes,No,Invincible Audacity,"Auroral Contemplations , Disciplines of the Hammer , Edicts Martial ",15,Edge,"3 Forge, 3 Lantern, 6 Edge","Memory, Persistent",,Crafting
No,No,Iotic Essence,"Anbary & Lapidary , Meniscate Reflections , Pyroglyphics , Spices & Savours , Transformations & Liberations ",10,Forge,"3 Lantern, 5 Forge",Liquid,,Crafting
No,No,Iotic Essence,"Anbary & Lapidary , Meniscate Reflections , Pyroglyphics , Spices & Savours , Transformations & Liberations ",15,Forge,"3 Lantern, 5 Forge",Liquid,,Crafting
No,Yes,January Sanguinary,"Surgeries & Exsanguinations , Edicts Inviolable , Herbs & Infusions , Maggephene Mysteries ",15,"Heart, Knock","3 Knock, 3 Sky, 5 Heart",Liquid,,Crafting
No,No,Labhitic Tincture,"Disciplines of the Hammer , Edicts Martial , Ragged Crossroads , Sickle & Eclipse ",5,Edge,"1 Lantern, 2 Edge","Material, Thing",,Crafting
Yes,Yes,Leathy,"Inks of Containment , Herbs & Infusions , Insects & Nectars , Orchids & Narcotics , Rites of the Roots ",10,"Moon, Nectar","2 Grail, 2 Nectar, 2 Scale, 4 Moth",Beverage,,Crafting
No,Yes,Living Relic,"Stitching & Binding , Furs & Feathers , Hill & Hollow , Pentiments & Precursors , Stone Stories ",10,"Scale, Winter","1 Heart, 2 Sky, 4 Scale",Beast,Numa,"Beachcombing, Crafting, The Sea-Caves"
No,No,Marakat,"Inks of Power , Insects & Nectars , Tridesma Hiera ",15,Edge,"7 Grail, 7 Knock, 7 Nectar","Encaustum Terminale, Ink, Liquid, Thing",Leathy,Crafting
Yes,No,Mazarine Fife,"Ouranoscopy , Sacra Limiae , Sacra Solis Invicti ",10,Sky,3 Sky,"Instrument, Thing, Tool",,Crafting
No,No,Midnight Mark,"Desires & Dissolutions , Insects & Nectars , Rhyme & Remembrance , Serpents & Venoms , Sharps , Snow Stories , Wolf Stories ",5,Moon,"1 Moth, 2 Moon","Mark, Thing",,Crafting
Yes,No,Nameday Riddle,"Edicts Liminal , Rites of the Roots , Sacra Limiae , Solutions & Separations , Weaving & Knotworking ",10,Moth,"2 Knock, 2 Moth",Memory,,Crafting
Yes,No,Nillycant,"Inks of Containment , Sights & Sensations , Ragged Crossroads ",15,Winter,"7 Edge, 7 Scale, 7 Winter","Encaustum Terminale, Ink, Liquid, Thing",,Crafting
Yes,Yes,Old Moment,"Disciplines of the Scar , Horns & Ivories , Coil & Chasm , Path & Pilgrim , Wolf Stories ",10,"Lantern, Scale","2 Lantern, 2 Moth, 4 Scale",Memory,,Crafting
Yes,Yes,Old Wound,"Edicts Martial" ,5,Moon,"1 Edge, 2 Moon, 3 Winter","Memory, Persistent",,Crafting
No,No,Orpiment Exultant,"Anbary & Lapidary , Inks of Power , Transformations & Liberations ",15,Forge,"7 Forge, 7 Heart, 7 Sky","Encaustum Terminale, Ink, Liquid, Thing",,Crafting
No,Yes,Paint: Moth-Gold,"Inks of Revelation" ,5,Moth,2 Moth,"Liquid, Pigment, Thing",,Crafting
No,No,Pale Mommet,"Pentiments & Precursors , Resurgences & Emergences , Sea Stories , The Great Signs and the Great Scars , Tridesma Hiera ",10,Grail,"2 Heart, 2 Moth, 4 Grail","Device, Thing, Tool",,Crafting
No,Yes,Perhibiate,"Stitching & Binding , Weaving & Knotworking , Inks of Power ",5,"Heart, Scale","1 Winter, 2 Heart, 2 Lantern, 2 Scale","Ink, Liquid",,Crafting
No,Yes,Perilous Imago,"Insects & Nectars , Resurgences & Emergences , Transformations & Liberations ",15,"Moon, Moth","2 Knock, 2 Moon, 2 Scale, 6 Moth",Beast,,Crafting
No,Yes,Perinculate,"Putrefactions & Calcinations , Disciplines of the Scar , Edicts Martial , Sickle & Eclipse , Inks of Power ",10,"Edge, Scale, Winter","4 Edge, 4 Scale","Ink, Liquid, Thing",,Crafting
Yes,Yes,Porphyrine,"Auroral Contemplations , Inks of Power , Sand Stories , Inks of Revelation , Pearl & Tide ",15,"Heart, Lantern","7 Knock, 7 Moon, 7 Rose","Encaustum Terminale, Ink, Liquid, Thing",,Crafting
No,Yes,Pyrus Auricalcinus,"Desires & Dissolutions , Coil & Chasm , Leaves & Thorns , Spices & Savours ",10,"Moon, Nectar","4 Forge, 4 Nectar","Fruit, Sustenance",Numa,"Crafting, Practic Garden"
No,No,Refulgin,"Inks of Revelation , Purifications & Exaltations , Sacra Solis Invicti , Transformations & Liberations ",5,Lantern,2 Lantern,"Material, Pigment",,Crafting
